frame_number,x_offset,x_offset_meters
8616,466.0,0.2042
8617,-680.0,-0.2979
8632,383.0,0.1678
8634,-703.0,-0.308
8651,361.0,0.1582
8653,-609.0,-0.2668
8668,415.0,0.1818
8669,-596.0,-0.2611
8684,386.0,0.1691
8700,-534.0,-0.234
8722,-565.0,-0.2475
8723,327.0,0.1433
8738,275.0,0.1205
8739,-525.0,-0.23
8761,-540.0,-0.2366
8765,326.0,0.1428
8782,293.0,0.1284
8790,312.0,0.1367
8806,284.0,0.1244
8824,295.0,0.1292
8839,280.0,0.1227
8855,352.0,0.1542
8870,346.0,0.1516
8888,330.0,0.1446
8903,276.0,0.1209
8921,360.0,0.1577
8938,280.0,0.1227
8954,296.0,0.1297
8969,369.0,0.1617
8995,375.0,0.1643
9010,327.0,0.1433
9028,-695.0,-0.3045
9029,342.0,0.1498
9046,279.0,0.1222
9061,289.0,0.1266
9076,267.0,0.117
9091,377.0,0.1652
9106,420.0,0.184
9121,378.0,0.1656
9136,313.0,0.1371
9151,389.0,0.1704
9171,397.0,0.1739
9193,411.0,0.1801
9194,-661.0,-0.2896
9209,398.0,0.1744
9210,-724.0,-0.3172
9231,440.0,0.1928
9246,437.0,0.1915
9270,415.0,0.1818
9287,-574.0,-0.2515
9288,351.0,0.1538
9306,308.0,0.1349
9307,-516.0,-0.2261
9322,405.0,0.1774
9330,527.0,0.2309
9345,-689.0,-0.3019
9360,550.0,0.241
9381,486.0,0.2129
9382,-694.0,-0.3041
9397,-584.0,-0.2559
9422,345.0,0.1512
9438,333.0,0.1459
9453,312.0,0.1367
9454,-676.0,-0.2962
9469,-607.0,-0.2659
9484,482.0,0.2112
9486,-638.0,-0.2795
9505,-575.0,-0.2519
9509,462.0,0.2024
9526,-543.0,-0.2379
9527,482.0,0.2112
9542,350.0,0.1533
9543,-554.0,-0.2427
9558,399.0,0.1748
9580,400.0,0.1753
9581,-679.0,-0.2975
9596,552.0,0.2419
9611,436.0,0.191
9626,465.0,0.2037
9641,-627.0,-0.2747
9656,513.0,0.2248
9657,-518.0,-0.227
9672,-481.0,-0.2107
9689,435.0,0.1906
9710,438.0,0.1919
9725,527.0,0.2309
9743,543.0,0.2379
9760,594.0,0.2603
9775,471.0,0.2064
9790,443.0,0.1941
9805,540.0,0.2366
9806,-624.0,-0.2734
9821,397.0,0.1739
9839,372.0,0.163
9854,327.0,0.1433
9875,281.0,0.1231
9894,353.0,0.1547
9914,401.0,0.1757
9929,374.0,0.1639
9931,-644.0,-0.2822
9948,360.0,0.1577
9951,-632.0,-0.2769
9967,-639.0,-0.28
9969,361.0,0.1582
9984,447.0,0.1958
10000,474.0,0.2077
10015,488.0,0.2138
10024,461.0,0.202
10026,-623.0,-0.273
10053,329.0,0.1441
10068,203.0,0.0889
10083,238.0,0.1043
10084,-640.0,-0.2804
10099,265.0,0.1161
10100,-641.0,-0.2808
10115,338.0,0.1481
10142,404.0,0.177
10160,493.0,0.216
10175,504.0,0.2208
10191,401.0,0.1757
10224,296.0,0.1297
10242,285.0,0.1249
10262,-594.0,-0.2603
10267,336.0,0.1472
10282,338.0,0.1481
10300,398.0,0.1744
10317,368.0,0.1612
10349,281.0,0.1231
10366,273.0,0.1196
10395,268.0,0.1174
10416,314.0,0.1376
10436,295.0,0.1292
10451,324.0,0.142
10475,334.0,0.1463
10490,422.0,0.1849
10494,354.0,0.1551
10521,297.0,0.1301
10551,265.0,0.1161
10573,293.0,0.1284
10593,311.0,0.1363
10608,383.0,0.1678
10609,-667.0,-0.2922
10629,350.0,0.1533
10644,457.0,0.2002
10664,358.0,0.1569
10680,-572.0,-0.2506
10697,-637.0,-0.2791
10720,242.0,0.106
10738,229.0,0.1003
10755,200.0,0.0876
10770,366.0,0.1604
