frame_number,time_s,x,y,x_offset
13670,455.63,1128,498,168.0
13685,456.13,1116,445,156.0
13702,456.7,1083,539,123.0
13732,457.7,351,782,-609.0
13748,458.23,1209,460,249.0
13770,458.97,401,712,-559.0
13805,460.13,1231,451,271.0
13820,460.63,1201,452,241.0
13821,460.67,310,564,-650.0
13837,461.2,259,380,-701.0
13856,461.83,1110,796,150.0
13878,462.57,1148,254,188.0
13893,463.07,1116,532,156.0
13910,463.63,1080,719,120.0
13954,465.1,1117,616,157.0
13970,465.63,414,504,-546.0
13991,466.33,454,683,-506.0
14007,466.87,1174,587,214.0
14024,467.43,1150,704,190.0
14049,468.27,414,725,-546.0
14075,469.13,1043,753,83.0
14105,470.13,447,756,-513.0
14135,471.13,1146,555,186.0
14150,471.63,1097,875,137.0
14169,472.27,317,609,-643.0
14195,473.13,1128,564,168.0
14210,473.63,1048,771,88.0
14225,474.13,1014,533,54.0
14246,474.83,1021,391,61.0
14264,475.43,843,216,-117.0
14280,475.97,845,667,-115.0
14297,476.53,847,553,-113.0
14312,477.03,831,726,-129.0
14327,477.53,801,655,-159.0
14345,478.13,603,506,-357.0
14360,478.63,559,647,-401.0
14375,479.13,446,561,-514.0
14390,479.63,318,211,-642.0
14405,480.13,1255,459,295.0
14420,480.63,370,609,-590.0
14442,481.37,343,659,-617.0
14458,481.9,1067,707,107.0
14482,482.7,1045,576,85.0
14511,483.67,1040,538,80.0
14543,484.73,960,340,0.0
14570,485.63,872,410,-88.0
14595,486.47,823,681,-137.0
14613,487.07,809,671,-151.0
14633,487.73,872,511,-88.0
14653,488.4,837,406,-123.0
14669,488.93,832,645,-128.0
14686,489.5,834,441,-126.0
14701,490.0,829,541,-131.0
14733,491.07,833,422,-127.0
14776,492.5,914,537,-46.0
14804,493.43,931,402,-29.0
14819,493.93,1001,487,41.0
14858,495.23,825,426,-135.0
14873,495.73,846,460,-114.0
14888,496.23,804,270,-156.0
14923,497.4,915,381,-45.0
14940,497.97,937,755,-23.0
14964,498.77,983,606,23.0
14998,499.9,966,513,6.0
15013,500.4,954,617,-6.0
15021,500.67,933,467,-27.0
15056,501.83,905,346,-55.0
